product_name,product_price,product_url,product_size,product_id,category,page_number
Plant Menu Vegetable Burgers 454g/4 Pack,1.69,https://groceries.aldi.co.uk/en-GB/p-plant-menu-vegetable-burgers-454g4-pack/4088600471778,454g,4088600471778,vegan-range,1
Plant Menu Spicy Bean Burgers 454g/4 Pack,1.69,https://groceries.aldi.co.uk/en-GB/p-plant-menu-spicy-bean-burgers-454g4-pack/4088600471785,454g,4088600471785,vegan-range,1
Plant Menu No Chicken Burgers 227g/2 Pack,1.69,https://groceries.aldi.co.uk/en-GB/p-plant-menu-no-chicken-burgers-227g2-pack/4088600454887,227g,4088600454887,vegan-range,1
Veggie Menu Bean & Vegetable Burgers 227g/2 Pack,1.69,https://groceries.aldi.co.uk/en-GB/p-veggie-menu-bean-vegetable-burgers-227g2-pack/4061464942042,227g,4061464942042,vegan-range,1
Plant Menu No Chicken Pies 2x200g,1.49,https://groceries.aldi.co.uk/en-GB/p-plant-menu-no-chicken-pies-2x200g/4061459818666,2x200g,4061459818666,vegan-range,1
Plant Menu Organic Super Firm Tofu 200g,0.99,https://groceries.aldi.co.uk/en-GB/p-plant-menu-organic-super-firm-tofu-200g/4061463578013,200g,4061463578013,vegan-range,1
The Foodie Market Gluten Free Red Lentil & Beetroot Fusilli 250g,0.99,https://groceries.aldi.co.uk/en-GB/p-the-foodie-market-gluten-free-red-lentil-beetroot-fusilli-250g/4088600206462,250g,4088600206462,vegan-range,1
Plant Menu No Chicken Katsu Fillets 240g/2 Pack,1.79,https://groceries.aldi.co.uk/en-GB/p-plant-menu-no-chicken-katsu-fillets-240g2-pack/4061464604605,240g,4061464604605,vegan-range,1
Plant Menu Coconut Oil Alternative To Cheddar Block 200g,1.99,https://groceries.aldi.co.uk/en-GB/p-plant-menu-coconut-oil-alternative-to-cheddar-block-200g/4088600551012,200g,4088600551012,vegan-range,1
Plant Menu No Chicken Kievs 2x140g,1.99,https://groceries.aldi.co.uk/en-GB/p-plant-menu-no-chicken-kievs-2x140g/4088600545844,2x140g,4088600545844,vegan-range,1
Plant Menu Battered No Pork Sausages 180g/2 Pack,1.99,https://groceries.aldi.co.uk/en-GB/p-plant-menu-battered-no-pork-sausages-180g2-pack/4088600552354,180g,4088600552354,vegan-range,1
Acti Leaf Oat Drink With No Sugars 1l,1.15,https://groceries.aldi.co.uk/en-GB/p-acti-leaf-oat-drink-with-no-sugars-1l/4088600553801,1L,4088600553801,vegan-range,1
Plant Menu Coconut Oil Alternative To Grated Cheddar 200g,1.99,https://groceries.aldi.co.uk/en-GB/p-plant-menu-coconut-oil-alternative-to-grated-cheddar-200g/4088600551036,200g,4088600551036,vegan-range,1
Plant Menu Coconut Oil Alternative To Cheddar Slices 180g/9 Pack,1.99,https://groceries.aldi.co.uk/en-GB/p-plant-menu-coconut-oil-alternative-to-cheddar-slices-180g9-pack/4088600551029,180g,4088600551029,vegan-range,1
The Deli Butternut Squash & Tomato Falafel 200g,1.25,https://groceries.aldi.co.uk/en-GB/p-the-deli-butternut-squash-tomato-falafel-200g/4088600540412,200g,4088600540412,vegan-range,1
The Foodie Market Totally Nuts & Seeds 25g,0.39,https://groceries.aldi.co.uk/en-GB/p-the-foodie-market-totally-nuts-seeds-25g/4088600020235,25g,4088600020235,vegan-range,1
The Foodie Market Exotic Coconut Mix 25g,0.39,https://groceries.aldi.co.uk/en-GB/p-the-foodie-market-exotic-coconut-mix-25g/4088600020259,25g,4088600020259,vegan-range,1
